1200,8,	1207.74422,	0.00,	0.00
1200,9,	1208.74849,	0.00,	0.00
1300,0,1299.79946,	46.70,	100.00
1300,1,	1300.80238,	34.11,	73.05
1300,2,	1301.80511,	13.91,	29.78
1300,3,	1302.80774,	4.09,	8.76
1300,4,	1303.81031,	0.96,	2.06
1300,5,	1304.81285,	0.19,	0.41
1300,6,	1305.81535,	0.03,	0.07
1300,7,	1306.81787,	0.00,	0.01
1300,8,	1307.82046,	0.00,	0.00
1300,9,	1308.82347,	0.00,	0.00
1400,0,1399.56099,	42.25,	100.00
1400,1,	1400.56385,	33.11,	78.37
1400,2,	1401.56542,	16.31,	38.61
1400,3,	1402.56685,	5.99,	14.18
1400,4,	1403.56832,	1.78,	4.20
1400,5,	1404.56990,	0.44,	1.05
1400,6,	1405.57158,	0.10,	0.23
1400,7,	1406.57335,	0.02,	0.04
1400,8,	1407.57525,	0.00,	0.01
1400,9,	1408.57739,	0.00,	0.00
1400,10,	1409.57869,	0.00,	0.00
1500,0,1499.63722,	39.66,	100.00
1500,1,	1500.64010,	33.52,	84.52
1500,2,	1501.64183,	17.37,	43.80
1500,3,	1502.64335,	6.69,	16.86
1500,4,	1503.64489,	2.07,	5.23
1500,5,	1504.64651,	0.54,	1.37
1500,6,	1505.64822,	0.12,	0.31
1500,7,	1506.65001,	0.02,	0.06
1500,8,	1507.65192,	0.00,	0.01
1500,9,	1508.65404,	0.00,	0.00
1500,10,	1509.65606,	0.00,	0.00
1600,0,1599.70089,	37.52,	100.00
1600,1,	1600.70375,	33.73,	89.89
1600,2,	1601.70557,	18.26,	48.66
1600,3,	1602.70716,	7.31,	19.49
1600,4,	1603.70873,	2.36,	6.29
1600,5,	1604.71037,	0.64,	1.71
1600,6,	1605.71210,	0.15,	0.40
1600,7,	1606.71389,	0.03,	0.08
1600,8,	1607.71582,	0.01,	0.02
1600,9,	1608.71768,	0.00,	0.00
1600,10,	1609.71865,	0.00,	0.00
1700,0,1699.64684,	35.22,	100.00
1700,1,	1700.64970,	33.75,	95.84
1700,2,	1701.65163,	19.21,	54.56
1700,3,	1702.65331,	8.07,	22.91
1700,4,	1703.65495,	2.73,	7.74
1700,5,	1704.65663,	0.78,	2.20
1700,6,	1705.65838,	0.19,	0.54
1700,7,	1706.66020,	0.04,	0.12
1700,8,	1707.66213,	0.01,	0.02
1700,9,	1708.66398,	0.00,	0.00
1700,10,	1709.66612,	0.00,	0.00
1800,0,1799.81698,	33.37,	98.96
1800,1,	1800.81986,	33.72,	100.00
1800,2,	1801.82187,	19.98,	59.24
1800,3,	1802.82362,	8.70,	25.80
1800,4,	1803.82531,	3.04,	9.02
1800,5,	1804.82703,	0.90,	2.66
1800,6,	1805.82881,	0.23,	0.68
1800,7,	1806.83065,	0.05,	0.15
1800,8,	1807.83258,	0.01,	0.03
1800,9,	1808.83444,	0.00,	0.01
1800,10,	1809.83720,	0.00,	0.00
1900,0,1899.98712,	31.62,	94.10
1900,1,	1900.99001,	33.60,	100.00
1900,2,	1901.99209,	20.69,	61.59
1900,3,	1902.99391,	9.33,	27.78
1900,4,	1903.99566,	3.38,	10.05
1900,5,	1904.99742,	1.03,	3.06
1900,6,	1905.99922,	0.27,	0.81
1900,7,	1907.00108,	0.06,	0.19
1900,8,	1908.00302,	0.01,	0.04
1900,9,	1909.00503,	0.00,	0.01
1900,10,	1910.00733,	0.00,	0.00
2000,0,1999.93307,	29.68,	89.11
2000,1,	2000.93596,	33.31,	100.00
2000,2,	2001.93812,	21.47,	64.45
2000,3,	2002.94001,	10.10,	30.32
2000,4,	2003.94181,	3.81,	11.43
2000,5,	2004.94361,	1.21,	3.62
2000,6,	2005.94544,	0.33,	1.00
2000,7,	2006.94733,	0.08,	0.24
2000,8,	2007.94927,	0.02,	0.05
2000,9,	2008.95138,	0.00,	0.01
2000,10,	2009.95335,	0.00,	0.00
2000,11,	2010.95522,	0.00,	0.00
2100,0,2099.99674,	28.08,	85.04
2100,1,	2100.99961,	33.02,	100.00
2100,2,	2102.00181,	22.09,	66.91
2100,3,	2103.00374,	10.75,	32.56
2100,4,	2104.00558,	4.18,	12.67
2100,5,	2105.00740,	1.37,	4.14
2100,6,	2106.00925,	0.39,	1.18
2100,7,	2107.01114,	0.10,	0.29
2100,8,	2108.01308,	0.02,	0.07
2100,9,	2109.01519,	0.00,	0.01
2100,10,	2110.01712,	0.00,	0.00
2100,11,	2111.01773,	0.00,	0.00
